transaction_id,user_id,date,amount,category,description,payment_method
fb0e7644-f4e2-4f77-bf34-b87896e5bc81,135,2025-04-08,98.77,Bills,Electricity bill,Credit Card
3df9a3f2-0e7a-4818-bdad-4f013b35ebca,186,2024-12-26,3814.12,Travel,Ola trip,UPI
6e5937d9-fb87-4086-9a4e-8d3285c2f3fc,111,2024-12-09,111.98,Entertainment,Gaming top-up,Credit Card
69d8909e-e72e-46fb-9a25-5b1bb3808d79,191,2025-04-27,3025.6,Travel,Uber ride,Netbanking
704329e7-7ea4-4a2d-a87a-95e2039ee0ac,100,2025-01-27,3151.7,Travel,Train ticket,Credit Card
d17984c8-9f64-4322-97a9-7bfe71faf26c,119,2025-01-21,713.49,Bills,Phone recharge,Credit Card
1d9ddb56-57a0-42fc-b476-60d26deb8c5b,112,2025-01-17,5927.46,Rent,Monthly rent,Debit Card
5d2ac5d3-db98-4adf-978f-01ad1351808b,105,2025-01-01,7645.21,Rent,Hostel rent,Netbanking
742a8d69-87de-458f-871c-18770d82ddf7,148,2025-04-27,1947.58,Entertainment,Netflix,UPI
e02ef382-0e8f-4bb6-a334-8e3467fa01d1,179,2024-12-24,1667.34,Entertainment,BookMyShow,Debit Card
1a7ab5b1-e73a-4445-b4e5-70d5ef7db3ea,105,2025-04-15,1423.92,Entertainment,Spotify,Credit Card
61c2a3c8-afbb-4081-9334-9ec17f31b5d6,112,2025-04-27,13553.18,Rent,Monthly rent,Netbanking
d0e2a47d-8362-4e21-b399-4437888a2c5a,146,2025-05-27,11356.84,Rent,PG fees,Credit Card
f7ab2afa-301f-411d-9148-35e3245bc697,134,2025-03-20,7095.07,Rent,PG fees,UPI
4892ae29-a513-45e8-927d-a15c57f34d71,131,2024-12-21,1091.57,Entertainment,Spotify,Credit Card
ddbbf83c-b331-441c-b320-65a5c3113b78,181,2025-03-29,1714.77,Shopping,DMart purchase,Credit Card
fadd2054-9064-4ee4-9d7a-697a0e45d75b,199,2025-02-24,1693.56,Bills,Phone recharge,UPI
527ee011-939c-4253-8b89-540aa72dd053,151,2024-12-11,4122.71,Travel,Uber ride,Debit Card
3fdd12a2-0c0c-4399-828b-973f228816ab,172,2024-12-10,1830.62,Food,Zomato bill,Debit Card
d940feae-c69a-4f5a-aaf5-2dab38009129,182,2024-12-23,2280.34,Travel,Train ticket,Netbanking
fe7bde45-34db-4999-9ff2-342cee31f565,195,2025-01-16,1128.34,Travel,Indigo flight,Debit Card
03d92147-203f-4611-bf38-22eeb04d623c,174,2025-01-19,885.45,Bills,WiFi payment,Netbanking
186990f0-d91e-4a77-ba8e-72b44c97616f,117,2025-03-13,14973.26,Rent,Monthly rent,Netbanking
